"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Agropecuária","Mosaico de Usos","","","51790186.5586979","47213200.83700312","43272290.78234578","40514553.86083725","38805869.76129674","37186485.67054256","35288448.041642174","34731018.81585536","34510085.64291234","34464691.95372604","34580908.87797854","34379107.91161595","34160291.065750085","34038145.00548371","33615278.977187365","33069004.122891795","33108785.791195232","33287998.621530503","34268356.81470254","34417522.35962034","34146306.60726634","33631660.64873826","33402162.33437254","33469801.28160811","33371947.521360837","33369780.487897575","33632097.45705737","33843217.048109084","33783419.76579015","33092390.495818704","32615169.03197904","32292116.804457795","32322941.385952756","32925723.197678708","33908986.32032998","35392886.78174944","37429396.479783505","39601489.0844961","42809573.87843836","46552478.93292988"
"Agropecuária","Pastagem","","","92263443.91800319","99544810.09328789","106159644.08524533","110722440.395408","114034803.97759905","116777587.02465306","119440238.16853538","123104059.78142905","125916209.54816781","128482647.70127293","131730388.89903879","134791135.69559357","137831755.10837033","141083527.91747957","144001099.7831694","146258156.83407322","147998854.17095697","149825067.11377883","152264237.78770503","154005629.81979743","155305748.7001776","156070175.00365427","156338144.8022796","156522223.50362307","156239939.15899953","155898511.18870002","155720340.7727185","155573290.3974815","155169401.25188205","155049827.06975573","155162907.07704815","155252500.03775302","154669585.46694157","154471251.19689152","154751337.83552736","154705923.08785313","155248544.2503993","155975140.706223","156241481.6690812","155005401.5020912"
"Área Não Vegetada","","","","3917053.09196306","3819727.9260325823","3779416.5711429594","3816722.2625551876","3853201.534733216","3868590.3869138784","3893267.8064392656","3956465.542653668","4014081.0108787967","4080082.4764608773","4198447.551788272","4303553.822926699","4365907.116402969","4447076.9803136485","4547256.193934458","4653882.910830628","4724640.093880681","4790279.163042575","4863521.583488887","4904659.8241633745","4942141.507197715","4968297.6141430065","4998131.588535933","5063351.239801321","5129313.793186729","5165434.899533695","5204820.428344003","5288454.6697504","5412852.1389596425","5519883.059197643","5617455.093205674","5711689.864595799","5780718.674390482","5860804.3343532635","5943569.767419178","6080196.704812218","6199192.938602623","6307579.860928496","6432571.486275294","6616493.904519403"
"Área Não Vegetada","Usina Fotovoltaica","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","822.3136256774952","1687.6132035400176","3535.0399860412226","5088.782849639867","6586.538325567597","9880.766893225044","16856.945035784815","24726.684791021475","35317.96425171476"
"Área Não Vegetada","Outras Áreas Não Vegetadas","","","1627051.8770109327","1456018.0486237137","1344593.106640814","1292105.8606270486","1244314.8553088023","1189173.8407550475","1141989.545929628","1110053.8906213704","1074896.7155687448","1042513.6045483074","1039415.5435335139","1027932.7181325966","1010973.8777972123","1021495.6800045258","1044718.6516085487","1073925.784073514","1087018.2335363233","1092997.2343767644","1109559.4729949874","1101103.9767185552","1093568.0233550475","1069863.8592707862","1049135.538380359","1055888.0839734406","1050322.729214956","1010023.2535267678","959804.0314547905","943758.6547837304","971392.2760530025","996193.2437930311","1011851.7731657177","1017626.3988300392","997238.803735757","993508.5518348344","988292.3987935043","957619.0271648614","950210.6146046108","926115.5713283124","954638.7258306523","1030476.6230954415"
"Área Não Vegetada","Mineração","","","53209.7266927429","60180.74715747694","70560.41223017003","82818.77046871975","98611.719419068","107181.98906578407","110611.91707361506","118504.01739412313","123739.47328848945","128803.87002373164","133934.20771539962","135868.92436792646","140614.2694657538","145401.56898203737","149918.572796887","159495.06259903536","163451.43584273706","166981.33794778428","171381.99832642806","175683.31366337862","180137.02168627275","183622.3682202141","188907.59583667494","197068.84414909594","204251.61360928862","210956.0869534775","220436.8161988331","231823.01615386285","244540.89965426468","254972.51055183003","266908.02220823866","281055.38657804515","295819.78747055033","308968.5228918265","327279.7933579276","424152.0155632362","477422.9368070233","530101.1697742232","575745.7830638154","609636.6888986372"
"Área Não Vegetada","Praia, Duna e Areal","","","435743.08328771323","435377.4103994827","449265.9239160959","453270.5935205668","452719.35709559184","445582.61533862","440244.3451119758","442920.5718294877","445561.9470548028","445811.53163646976","455380.12798159843","463551.2737980546","456093.39493224677","443425.8404405645","436932.93635265285","434075.81437403604","430465.9992318654","430530.6568634432","427299.673754847","420170.11875468265","414651.5588367072","414261.78803127346","410809.8175567882","404456.69758553465","407259.8340732746","412906.5765345266","421536.1367835187","429432.9553217219","430581.6427327287","427885.9087076427","423841.94124872814","422541.66602487565","420055.97540550237","415920.2408530687","409693.2625928095","405055.118023039","400605.4432980315","397289.4355608245","394017.2099332216","393093.8001316031"
"Área Não Vegetada","Área Urbanizada","","","1801048.4049716715","1868151.719851909","1914997.1283558796","1988527.0379388523","2057555.6029097536","2126651.941754427","2200421.998324047","2284987.062808687","2369882.8749667597","2462953.4702523686","2569717.6725577605","2676200.9066281216","2758225.5742077557","2836753.8908865205","2915686.03317637","2986386.249784042","3043704.4252697555","3099769.9338545837","3155280.438412625","3207702.4150267583","3253784.903319688","3300549.598620733","3349278.6367621105","3405937.61409325","3467479.6162892096","3531548.9825189225","3603043.4439068604","3683440.043491084","3766337.320519646","3840831.3961451394","3914853.3565829885","3989644.0995371616","4065916.4945751317","4138871.978787493","4213215.529825296","4286784.005735514","4361073.176999732","4437216.739229351","4483443.082656583","4547968.828142007"
"Água e Ambiente Marinho","","","","20127784.54219566","18756834.623860057","19333925.749251362","20966533.41290482","20663172.144718762","19645061.277264103","21105259.83441915","20434857.55331923","20414674.463519294","19177395.416562192","20217182.8077678","19674648.57740832","20027025.678498883","19023412.270297974","20156625.676402558","18310000.965967815","17737270.897208434","18408704.95563019","18013901.47869889","18127555.145668868","18288633.831003793","18857528.59519886","18977561.81524672","18854942.850600813","18445266.099913917","18159823.88230234","18803455.605911057","17977191.18894657","17777315.25409892","18317677.540486813","17479424.156277306","17233748.503813967","17493765.356679823","17992351.03671025","17582685.225945566","17283192.143728875","17332677.910286907","18611303.821048804","18313757.69720007","17590261.77738991"
"Água e Ambiente Marinho","Rio, Lago e Oceano","","","20102785.961695746","18729935.12304444","19304284.414212488","20935429.96649861","20631029.60553579","19612152.653088983","21071966.91351663","20401313.604672186","20381417.899356857","19144137.511358786","20183571.467345975","19641389.770282533","19993341.797937483","18988928.44729527","20120934.47016574","18271914.900344092","17695612.996793326","18365149.23361997","17968265.820996415","18081010.15858113","18241675.53515856","18810459.43586683","18929788.320585147","18804688.399537805","18392239.786067367","18104513.226634495","18743894.920557592","17914464.377655752","17712278.26243885","18250773.843732975","17409993.04189639","17161046.28715683","17419020.70779415","17915941.012625497","17504939.210296366","17207137.230319597","17257315.944359753","18536048.28477206","18238375.60792407","17509269.45474881"
